City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Kandrian,PG,2022-03-19 03:31:49,-6.2167,149.55,87.49,65,70,7.02
136,Fallon,US,2022-03-19 03:31:50,39.4735,-118.7774,57.07,22,75,3.44
137,Ancud,CL,2022-03-19 03:31:50,-41.8697,-73.8203,47.23,81,100,5.53
138,Nanortalik,GL,2022-03-19 03:31:51,60.1432,-45.2371,16.59,80,100,4.9
139,Cabedelo,BR,2022-03-19 03:31:52,-6.9811,-34.8339,75.87,78,56,6.46
140,Qaanaaq,GL,2022-03-19 03:31:53,77.484,-69.3632,-9.71,91,100,6.08
141,Palmer,US,2022-03-19 03:31:54,42.1584,-72.3287,59.41,60,75,6.91
142,Georgetown,MY,2022-03-19 03:28:58,5.4112,100.3354,89.53,76,40,8.05
143,Sitka,US,2022-03-19 03:31:55,57.0531,-135.33,39.09,81,100,8.05
144,Lompoc,US,2022-03-19 03:29:49,34.6391,-120.4579,56.01,84,20,13.0
145,Tautira,PF,2022-03-19 03:31:56,-17.7333,-149.15,81.91,71,2,12.66
146,Alta Floresta,BR,2022-03-19 03:31:57,-9.8756,-56.0861,70.72,98,94,0.98
147,Bako,ET,2022-03-19 03:31:58,5.7833,36.5667,69.6,55,74,2.35
148,Kavieng,PG,2022-03-19 03:31:59,-2.5744,150.7967,86.25,61,22,13.62
149,Longyearbyen,SJ,2022-03-19 03:28:08,78.2186,15.6401,28.24,64,40,12.66
150,Tomatlan,MX,2022-03-19 03:30:25,19.9333,-105.25,62.85,59,0,3.47
151,Rancho Veloz,CU,2022-03-19 03:32:01,22.8806,-80.3917,75.33,82,0,7.38
152,Ozernovskiy,RU,2022-03-19 03:32:02,51.5,156.5167,35.6,78,100,7.05
153,Turukhansk,RU,2022-03-19 03:32:03,65.8167,87.9833,19.45,94,100,10.67
154,Gazanjyk,TM,2022-03-19 03:32:04,39.2446,55.5154,40.8,49,4,20.36
155,Port Alfred,ZA,2022-03-19 03:32:05,-33.5906,26.891,69.64,90,100,7.18
156,Vila Velha,BR,2022-03-19 03:32:06,-20.3297,-40.2925,75.94,91,40,3.44
157,Asau,RO,2022-03-19 03:32:07,46.4333,26.4,18.52,78,32,3.83
158,Tiksi,RU,2022-03-19 03:32:08,71.6872,128.8694,6.39,77,100,26.71
159,Tukrah,LY,2022-03-19 03:32:08,32.5341,20.5791,53.2,69,75,16.37
160,Kodiak,US,2022-03-19 03:32:09,57.79,-152.4072,35.11,80,100,20.71
161,Victoria,HK,2022-03-19 03:30:02,22.2855,114.1577,78.24,85,30,18.01
162,Saint-Philippe,RE,2022-03-19 03:32:11,-21.3585,55.7679,79.11,83,39,3.09
163,Belyy Yar,RU,2022-03-19 03:32:11,53.6039,91.3903,17.49,73,99,4.47
164,Chokurdakh,RU,2022-03-19 03:32:12,70.6333,147.9167,-4.16,92,30,5.91
165,Akonolinga,CM,2022-03-19 03:32:13,3.7667,12.25,69.31,79,57,1.12
166,Tavda,RU,2022-03-19 03:32:14,58.0425,65.2726,20.39,92,74,8.16
167,Myitkyina,MM,2022-03-19 03:32:15,25.3833,97.4,94.64,19,8,1.12
168,Bonavista,CA,2022-03-19 03:32:16,48.6499,-53.1147,31.48,98,100,16.55
169,Rimbey,CA,2022-03-19 03:30:18,52.6334,-114.2353,34.23,89,12,5.46
170,Necochea,AR,2022-03-19 03:32:17,-38.5473,-58.7368,50.76,55,6,6.11
171,Bilibino,RU,2022-03-19 03:32:18,68.0546,166.4372,4.75,72,12,1.77
172,Hiriyur,IN,2022-03-19 03:32:19,13.9456,76.6192,83.32,48,8,5.88
173,Fomboni,KM,2022-03-19 03:32:20,-12.28,43.7425,83.16,74,100,9.42
174,Kahului,US,2022-03-19 03:32:20,20.8947,-156.47,80.62,69,0,21.85
175,Nouadhibou,MR,2022-03-19 03:32:21,20.931,-17.0347,62.58,82,12,16.11
176,Manggar,ID,2022-03-19 03:32:22,-2.8833,108.2667,87.84,63,70,5.95
177,Artvin,TR,2022-03-19 03:32:23,41.1667,41.8333,23.92,94,100,1.21
178,Piacabucu,BR,2022-03-19 03:32:24,-10.4056,-36.4344,77.25,77,40,6.46
179,Udachnyy,RU,2022-03-19 03:32:25,66.4167,112.4,8.46,77,100,15.88
180,Nueva Loja,EC,2022-03-19 03:32:26,0.0847,-76.8828,70.38,99,57,2.44
181,Lakshmipur,BD,2022-03-19 03:32:27,22.95,90.8333,87.51,36,61,3.51
182,Siteki,SZ,2022-03-19 03:32:28,-26.45,31.95,54.95,94,7,2.39
183,Trairi,BR,2022-03-19 03:29:08,-3.2778,-39.2689,75.42,90,13,5.12
184,Kupang,ID,2022-03-19 03:32:30,-10.1667,123.5833,83.17,77,99,8.05
185,Dauphin,CA,2022-03-19 03:32:31,51.1494,-100.0502,37.54,70,0,11.5
186,Wagar,SD,2022-03-19 03:32:31,16.1525,36.2032,71.47,59,73,6.69
187,Bethel,US,2022-03-19 03:28:01,41.3712,-73.414,59.85,81,0,12.66
188,Olafsvik,IS,2022-03-19 03:32:33,64.8945,-23.7142,34.74,70,100,6.26
189,Bellevue,US,2022-03-19 03:31:19,47.6104,-122.2007,52.03,80,75,4.0
190,Sydney,AU,2022-03-19 03:30:21,-33.8679,151.2073,73.11,74,75,20.71
191,Codrington,AU,2022-03-19 03:32:35,-38.2667,141.9667,78.12,35,9,0.87
192,Flinders,AU,2022-03-19 03:32:35,-34.5833,150.8552,73.38,75,97,7.0
193,North Las Vegas,US,2022-03-19 03:28:17,36.1989,-115.1175,71.02,13,0,4.61
194,Takoradi,GH,2022-03-19 03:32:37,4.8845,-1.7554,79.88,86,100,8.19
195,Sao Paulo De Olivenca,BR,2022-03-19 03:32:38,-3.3783,-68.8725,73.51,98,100,1.54
196,Evensk,RU,2022-03-19 03:32:39,61.95,159.2333,11.34,79,19,2.98
197,Chuy,UY,2022-03-19 03:32:39,-33.6971,-53.4616,59.7,82,100,14.52
198,Yar-Sale,RU,2022-03-19 03:32:40,66.8333,70.8333,14.61,94,69,5.17
199,Lavrentiya,RU,2022-03-19 03:32:41,65.5833,-171.0,-6.32,86,1,7.47
200,Bredasdorp,ZA,2022-03-19 03:32:42,-34.5322,20.0403,66.96,95,62,7.36
201,Cachoeira Do Sul,BR,2022-03-19 03:32:43,-30.0392,-52.8939,67.46,95,90,7.67
202,Olinda,BR,2022-03-19 03:32:43,-8.0089,-34.8553,80.33,83,75,12.66
203,Antofagasta,CL,2022-03-19 03:30:51,-23.65,-70.4,63.68,80,43,3.6
204,Alghero,IT,2022-03-19 03:32:45,40.5589,8.3181,53.69,87,75,14.97
205,Pergamino,AR,2022-03-19 03:32:46,-33.89,-60.5736,51.19,76,0,3.09
206,Haines Junction,CA,2022-03-19 03:32:46,60.7522,-137.5108,33.75,60,100,1.14
207,Severo-Kurilsk,RU,2022-03-19 03:32:47,50.6789,156.125,32.95,98,100,22.17
208,Lavumisa,SZ,2022-03-19 03:32:49,-27.31,31.892,60.12,96,38,2.15
209,Pacific Grove,US,2022-03-19 03:32:50,36.6177,-121.9166,56.21,85,75,8.05
210,Broken Hill,AU,2022-03-19 03:32:50,-31.95,141.4333,83.91,37,0,9.22
211,Pisco,PE,2022-03-19 03:32:51,-13.7,-76.2167,68.05,83,0,10.36
212,Tuktoyaktuk,CA,2022-03-19 03:32:52,69.4541,-133.0374,-9.4,77,75,11.5
213,Grindavik,IS,2022-03-19 03:32:53,63.8424,-22.4338,32.47,86,100,6.91
214,Anloga,GH,2022-03-19 03:32:54,5.7947,0.8973,82.22,82,33,14.32
215,Mormugao,IN,2022-03-19 03:32:55,15.4,73.8,83.46,79,75,4.61
216,Salalah,OM,2022-03-19 03:32:56,17.0151,54.0924,77.09,9,0,20.71
217,Gillette,US,2022-03-19 03:32:56,44.2911,-105.5022,40.95,46,0,5.75
218,Torrington,US,2022-03-19 03:32:57,41.8007,-73.1212,57.99,79,100,1.01
219,Chantada,ES,2022-03-19 03:32:58,42.6088,-7.7712,39.54,89,13,1.66
220,Aleksandrovskoye,RU,2022-03-19 03:32:59,44.7142,43.0008,24.22,91,100,18.81
221,Sao Luiz Gonzaga,BR,2022-03-19 03:31:57,-28.4083,-54.9608,66.43,95,90,8.86
222,Omboue,GA,2022-03-19 03:33:00,-1.5746,9.2618,75.83,92,100,2.71
223,Shiozawa,JP,2022-03-19 03:33:01,37.0333,138.85,40.98,97,100,2.42
224,Bushehr,IR,2022-03-19 03:33:02,28.9684,50.8385,57.29,41,0,9.22
225,Pionerskiy,RU,2022-03-19 03:33:03,54.9508,20.2275,37.24,87,98,6.62
226,Kaitangata,NZ,2022-03-19 03:33:03,-46.2817,169.8464,62.37,62,64,14.52
227,La Chaux-De-Fonds,CH,2022-03-19 03:33:04,47.0999,6.8259,37.94,75,99,8.05
228,Ostrovnoy,RU,2022-03-19 03:33:05,68.0531,39.5131,28.72,80,8,21.99
229,Saint-Augustin,CA,2022-03-19 03:33:06,51.226,-58.6502,21.2,79,79,14.41
230,Storobaneasa,RO,2022-03-19 03:33:07,43.8833,25.45,28.72,62,70,4.54
231,Vilhena,BR,2022-03-19 03:33:08,-12.7406,-60.1458,68.49,98,79,2.55
232,Chenzhou,CN,2022-03-19 03:33:09,25.8,113.0333,81.09,59,2,3.49
233,Shizuishan,CN,2022-03-19 03:33:10,39.2333,106.7694,41.41,37,91,6.78
234,Barrow,US,2022-03-19 03:33:11,71.2906,-156.7887,-9.38,64,0,10.36
235,Nemuro,JP,2022-03-19 03:33:12,43.3236,145.575,31.12,98,100,31.68
